"Description (English)","Description (français)","GSIN Description (English)","Description du NIBS (français)","GSIN Code/Code NIBS","Vendor Legal Name/Dénomination sociale du fournisseur","Vendor Operating Name/Nom commercial du fournisseur","End User","Utilisateur final","Start Date/Date de début","End Date/Date de fin","Delivery Point Code/Code du point de livraison","Delivery Point (English)","Point de livraison (français)","Agreement Type (English)","Type d'accord (français)","Standing Offer Number/Numéro d'accord"
"GOLD HARVEST AWARDS","PRIX MOISSON OR",Miscellaneous,Divers,N9910,"393598 Ontario Ltd.","Globe Awards and Promotions","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2011-02-24,2013-12-31,ON,Ontario,Ontario,RISO,OCIR,01044-110193/001/HS
"Laundry Services","Services de blanchisserie","Custodial Services","Services de garde",K108B,"Cintas Canada Limited","Cintas Canada Limited","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2012-09-04,2015-08-31,BC,"British Columbia",Colombie-Britannique,RISO,OCIR,01550-130015/001/VAN
"Building Mechanical Services","Services de mécanique du bâtiment","Refrigeration, Air Conditioning, and Air Circulating Equipment","Équipements de réfrigération, de conditionnement et de circulation d'air",JX4130A,"Black + McDonald Limited","Black + McDonald Limited","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2011-12-01,2013-11-30,SK,Saskatchewan,Saskatchewan,RISO,OCIR,01580-120046/001/REG
"Security Systems Servicing","Entretien de systèmes de sécurité","Alarm and Signal Systems","Systèmes d'alarme et de signalisation",JI6350,"CP Distributors LTD","CP Distributors LTD","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2013-01-01,2013-12-31,SK,Saskatchewan,Saskatchewan,RISO,OCIR,01580-130129/001/STN
"Wheat & Durum Genome Genotyping","Génome génotypage du blé et du blé dur","Instruments and Laboratory Equipment","Équipement et instruments de laboratoire",N6655,"DIVERSITY ARRAYS TECHNOLOGY PRY LTD.","DIVERSITY ARRAYS TECHNOLOGY PRY LTD.","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2012-07-03,2013-04-03,SK,Saskatchewan,Saskatchewan,RISO,OCIR,01581-120647/001/STN
"Winter Nursery: Canterbury/Manitoba","Pépinière d'hiver: Canterbury/Manitoba","Agriculture (R&D)","Agriculture (R et D)",AA910300,"New Zealand Institute for Plant and Food Research Ltd","Plant and Food Research","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2012-08-20,2014-08-14,AB,Alberta,Alberta,RISO,OCIR,01581-130095/001/STN
"Winter Nursery: Canterbury/Manitoba","Pépinière d'hiver: Canterbury/Manitoba","Agriculture (R&D)","Agriculture (R et D)",AA910300,"New Zealand Institute for Plant and Food Research Ltd","Plant and Food Research","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2012-08-20,2014-08-14,MB,Manitoba,Manitoba,RISO,OCIR,01581-130095/001/STN
"Winter Nursery: Canterbury/Manitoba","Pépinière d'hiver: Canterbury/Manitoba","Agriculture (R&D)","Agriculture (R et D)",AA910300,"New Zealand Institute for Plant and Food Research Ltd","Plant and Food Research","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2012-08-20,2014-08-14,SK,Saskatchewan,Saskatchewan,RISO,OCIR,01581-130095/001/STN
"Winter Nursery Canterbury","Pépinière d'hiver Canterbury","Agriculture (R&D)","Agriculture (R et D)",AA910300,"Southern Seed Technology Limited","Southern Seed Technology Limited","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2012-08-14,2014-08-14,AB,Alberta,Alberta,RISO,OCIR,01581-130096/001/STN
"Winter Nursery Canterbury","Pépinière d'hiver Canterbury","Agriculture (R&D)","Agriculture (R et D)",AA910300,"Southern Seed Technology Limited","Southern Seed Technology Limited","Agriculture & Agrifood Canada","Agriculture et agroalimentaire Canada",2012-08-14,2014-08-14,MB,Manitoba,Manitoba,RISO,OCIR,01581-130096/001/STN
